"Year","Rank","Team","Points"
"2023","147","Weber State","27.27"
"2023","149","James Madison","25.85"
"2023","150","Utah Tech","24.55"
"2023","151","Yale","23.67"
"2023","152","South Dakota","23.49"
"2023","153","McNeese","17.03"
"2023","154","Arkansas-Pine Bluff","16.22"
"2023","155","Grand Valley State University","16"
"2023","156","Northern Colorado","15.97"
"2023","157","Texas Southern","15.11"
"2023","159","Murray State","14.78"
"2023","160","The Citadel","14.37"
"2023","161","Montana","14.33"
"2023","162","Eastern Washington","14.17"
"2023","163","Jacksonville State","13.85"
"2023","164","Southeast Missouri State","13.83"
"2023","165","Eastern Illinois","13.78"
"2023","166","Central Arkansas","13.61"
"2023","167","Mississippi Valley State","13.17"
"2023","167","Dartmouth","13.17"
"2023","167","North Dakota State","13.17"
"2023","170","Duquesne","13"
"2023","171","Southern","12.78"
"2023","171","Eastern Kentucky","12.78"
"2023","173","Pennsylvania","12.75"
"2023","174","Southern Illinois","12.5"
"2023","175","Kennesaw State","12.37"
"2023","176","East Tennessee State","12"
"2023","177","Chattanooga","11.7"
"2023","178","Northern Iowa","9"
"2023","179","Illinois State","7.33"
